entity_a_id,entity_a_source,entity_b_id,entity_b_source,Cannonical_Name,type,entity_a_name,entity_b_name,relation_type
entity_44,OC-ORACLE,entity_95,OC-MYSQL,Customer,Parent,CUSTOMERS,CUSTOMERS,inter_sub_typed
entity_44,OC-ORACLE,entity_163,OC-SAP,Customer,Parent,CUSTOMERS,CUSTOMER,inter_sub_typed
entity_95,OC-MYSQL,entity_163,OC-SAP,Customer,Parent,CUSTOMERS,CUSTOMER,inter_sub_typed
entity_45,OC-ORACLE,entity_96,OC-MYSQL,Customer ID,Child,CUSTOMER ID,CUSTOMER NUMBER,inter_identical
entity_45,OC-ORACLE,entity_164,OC-SAP,Customer ID,Child,CUSTOMER ID,CUSTOMER ID,inter_identical
entity_96,OC-MYSQL,entity_164,OC-SAP,Customer ID,Child,CUSTOMER NUMBER,CUSTOMER ID,inter_identical
entity_47,OC-ORACLE,entity_98,OC-MYSQL,Customer Full Name,Child,FULL NAME,CONTACT LASTNAME,inter_sub_typed
entity_47,OC-ORACLE,entity_99,OC-MYSQL,Customer Full Name,Child,FULL NAME,CONTACT FIRST NAME,inter_sub_typed
entity_97,OC-MYSQL,entity_168,OC-SAP,Customer Coporate Name,Child,CUSTOMER NAME,CUSTOMER,inter_identical
entity_103,OC-MYSQL,entity_169,OC-SAP,Customer City,Child,CITY,CITY NAME,inter_identical
entity_106,OC-MYSQL,entity_170,OC-SAP,Customer Country,Child,COUNTRY,COUNTRY NAME,inter_identical
entity_46,OC-ORACLE,entity_100,OC-MYSQL,Customer Contact,Child,EMAIL ADDRESS,PHONE,inter_sub_typed
entity_44,OC-ORACLE,entity_76,OC-ORACLE,Customer Satelite Join Shipment,Parent,CUSTOMERS,SHIPMENTS,intra_joined
entity_45,OC-ORACLE,entity_79,OC-ORACLE,Customer Satelite Join Shipment Child,Child,CUSTOMER ID,CUSTOMER ID,intra_joined
entity_80,OC-ORACLE,entity_101,OC-MYSQL,Customer Address,Child,DELIVERY ADDRESS,ADDRESS LINE 1,inter_sub_typed
entity_80,OC-ORACLE,entity_102,OC-MYSQL,Customer Address,Child,DELIVERY ADDRESS,ADDRESS LINE 2,inter_sub_typed
entity_80,OC-ORACLE,entity_103,OC-MYSQL,Customer Address,Child,DELIVERY ADDRESS,CITY,inter_sub_typed
entity_80,OC-ORACLE,entity_104,OC-MYSQL,Customer Address,Child,DELIVERY ADDRESS,STATE,inter_sub_typed
entity_80,OC-ORACLE,entity_105,OC-MYSQL,Customer Address,Child,DELIVERY ADDRESS,POSTAL CODE,inter_sub_typed
entity_80,OC-ORACLE,entity_106,OC-MYSQL,Customer Address,Child,DELIVERY ADDRESS,COUNTRY,inter_sub_typed
entity_66,OC-ORACLE,entity_152,OC-MYSQL,Products,Parent,PRODUCTS,PRODUCTS,inter_sub_typed
